Date,Open*,High,Low,Close,Volume,Market Cap
"Feb 23, 2022",$2.18,$2.33,$2.12,$2.12,"$64,537,246","$819,422,391"
"Feb 22, 2022",$2.17,$2.26,$2.12,$2.18,"$49,027,583","$840,664,808"
"Feb 21, 2022",$2.48,$2.56,$2.16,$2.17,"$80,898,194","$832,025,040"
"Feb 20, 2022",$2.42,$2.56,$2.26,$2.49,"$67,100,723","$953,029,217"
"Feb 19, 2022",$2.43,$2.49,$2.35,$2.42,"$29,453,583","$923,864,098"
"Feb 18, 2022",$2.56,$2.63,$2.40,$2.43,"$40,084,841","$928,421,423"
"Feb 17, 2022",$2.66,$2.88,$2.51,$2.56,"$68,086,936","$973,036,631"
"Feb 16, 2022",$2.77,$2.77,$2.60,$2.66,"$49,770,604","$1,010,552,673"
"Feb 15, 2022",$2.68,$2.98,$2.65,$2.77,"$89,240,074","$1,049,153,234"
"Feb 14, 2022",$2.38,$2.77,$2.30,$2.68,"$110,971,561","$1,014,061,478"
"Feb 13, 2022",$2.51,$2.53,$2.37,$2.39,"$27,251,037","$900,561,765"
"Feb 12, 2022",$2.54,$2.65,$2.39,$2.51,"$41,973,659","$942,089,602"
"Feb 11, 2022",$2.77,$2.79,$2.51,$2.54,"$42,486,460","$953,693,614"
"Feb 10, 2022",$2.94,$2.97,$2.76,$2.77,"$55,885,950","$1,034,548,467"
"Feb 09, 2022",$3.00,$3.02,$2.88,$2.94,"$29,279,740","$1,098,265,606"
"Feb 08, 2022",$3.08,$3.14,$2.83,$3.01,"$42,008,989","$1,118,825,075"
"Feb 07, 2022",$3.03,$3.18,$2.95,$3.08,"$46,685,346","$1,144,839,397"
"Feb 06, 2022",$2.90,$3.17,$2.89,$3.03,"$40,553,040","$1,121,828,939"
"Feb 05, 2022",$2.71,$3.02,$2.69,$2.90,"$57,128,057","$1,072,598,645"
"Feb 04, 2022",$2.48,$2.72,$2.44,$2.71,"$42,368,469","$996,813,622"
"Feb 03, 2022",$2.45,$2.59,$2.37,$2.48,"$34,562,258","$912,410,234"
"Feb 02, 2022",$2.65,$2.78,$2.44,$2.45,"$47,157,049","$898,694,030"
"Feb 01, 2022",$2.38,$2.67,$2.36,$2.65,"$50,944,046","$967,618,872"
"Jan 31, 2022",$2.26,$2.39,$2.20,$2.38,"$25,636,519","$868,163,144"
"Jan 30, 2022",$2.33,$2.40,$2.23,$2.26,"$27,270,506","$824,195,455"
"Jan 29, 2022",$2.30,$2.37,$2.27,$2.33,"$29,587,852","$845,576,367"
"Jan 28, 2022",$2.27,$2.34,$2.17,$2.30,"$32,728,315","$830,847,292"
"Jan 27, 2022",$2.31,$2.36,$2.18,$2.27,"$30,754,742","$818,682,209"
"Jan 26, 2022",$2.32,$2.54,$2.26,$2.31,"$46,431,155","$833,299,949"
"Jan 25, 2022",$2.33,$2.38,$2.22,$2.32,"$39,520,076","$834,141,460"
"Jan 24, 2022",$2.45,$2.45,$2.09,$2.33,"$49,544,545","$836,322,223"
"Jan 23, 2022",$2.34,$2.56,$2.25,$2.45,"$47,550,103","$875,710,570"
"Jan 22, 2022",$2.91,$2.99,$2.21,$2.34,"$76,470,863","$835,298,981"
